epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2500.24,0.98772,0.64905,1.08577,0.98254,0.85924,0.93526,0.5161,1.72646,0.79601,1.39613,0.000848969,0.000848969,0.000848969
43,2560.85,0.99133,0.64113,1.08967,0.93955,0.83059,0.92758,0.50449,1.75159,0.82509,1.40894,0.000834822,0.000834822,0.000834822
44,2619.39,0.96662,0.61904,1.07685,0.96048,0.83969,0.92719,0.5286,1.68662,0.99205,1.37109,0.000820675,0.000820675,0.000820675
45,2681.75,0.99772,0.6241,1.09482,0.97396,0.87023,0.92939,0.49876,1.76568,0.84967,1.43894,0.000806528,0.000806528,0.000806528
46,2743,0.97789,0.62068,1.08205,0.94721,0.82178,0.90885,0.51405,1.74728,0.89862,1.42199,0.00079238,0.00079238,0.00079238
47,2807.18,0.95686,0.597,1.0773,0.88476,0.87914,0.91783,0.49286,1.77865,0.88175,1.4461,0.000778233,0.000778233,0.000778233
48,2868.17,0.95573,0.59819,1.0649,0.96629,0.87528,0.93026,0.51264,1.8091,0.98322,1.43188,0.000764086,0.000764086,0.000764086
49,2925.43,0.96924,0.60434,1.08329,0.95369,0.84733,0.94789,0.51442,1.71035,0.7876,1.37815,0.000749939,0.000749939,0.000749939
50,2984.32,0.94732,0.5995,1.07016,0.93607,0.83969,0.92947,0.51298,1.74835,0.88723,1.43421,0.000735792,0.000735792,0.000735792
51,3039.17,0.93732,0.58693,1.06697,0.93908,0.8626,0.92563,0.53507,1.69584,0.9269,1.39459,0.000721645,0.000721645,0.000721645
52,3094.22,0.92219,0.56896,1.05698,0.92965,0.82443,0.90892,0.5085,1.81932,0.98072,1.46695,0.000707498,0.000707498,0.000707498
53,3149.26,0.93048,0.57311,1.06757,0.92894,0.83969,0.92421,0.49796,1.79494,0.81648,1.47062,0.000693351,0.000693351,0.000693351
54,3204,0.93597,0.57467,1.05515,0.97667,0.80916,0.91347,0.52036,1.76425,0.99735,1.42466,0.000679204,0.000679204,0.000679204
55,3259.1,0.92662,0.56349,1.05851,0.9739,0.85447,0.92838,0.52237,1.75254,0.95824,1.43486,0.000665057,0.000665057,0.000665057
56,3314.29,0.91456,0.55866,1.05958,0.93076,0.8626,0.91825,0.49462,1.83844,0.8784,1.47686,0.000650909,0.000650909,0.000650909
57,3369.49,0.90925,0.55076,1.0462,0.95023,0.87451,0.92237,0.54018,1.71181,0.86507,1.40682,0.000636762,0.000636762,0.000636762
58,3424.49,0.9154,0.55636,1.05108,0.93428,0.86822,0.93411,0.51979,1.81263,0.80604,1.43728,0.000622615,0.000622615,0.000622615
59,3479.56,0.9065,0.54825,1.04793,0.95828,0.89313,0.95596,0.54444,1.76985,0.72345,1.43539,0.000608468,0.000608468,0.000608468
60,3534.42,0.90869,0.55684,1.06362,0.94626,0.89313,0.95022,0.51416,1.78107,0.71059,1.43762,0.000594321,0.000594321,0.000594321
61,3589.31,0.90195,0.55014,1.05394,0.95403,0.87786,0.94482,0.53195,1.67112,0.7851,1.39656,0.000580174,0.000580174,0.000580174
62,3644.08,0.89114,0.52555,1.04051,0.96068,0.8626,0.94589,0.54218,1.68932,0.78373,1.38923,0.000566027,0.000566027,0.000566027
63,3698.68,0.90008,0.52458,1.04729,0.94946,0.8855,0.94383,0.56144,1.67814,0.81894,1.40237,0.00055188,0.00055188,0.00055188
64,3753.85,0.88171,0.52521,1.04078,0.92696,0.8855,0.93171,0.52887,1.77477,0.83229,1.44367,0.000537733,0.000537733,0.000537733
65,3808.59,0.87383,0.51669,1.02509,0.93088,0.89313,0.94806,0.52107,1.82041,0.8397,1.46436,0.000523586,0.000523586,0.000523586
66,3863.39,0.88585,0.51786,1.03656,0.93228,0.84733,0.91848,0.52218,1.72265,0.8686,1.41759,0.000509438,0.000509438,0.000509438
67,3916.79,0.87277,0.51003,1.03227,0.94874,0.84778,0.93172,0.53368,1.76033,0.85192,1.40706,0.000495291,0.000495291,0.000495291
68,3971.5,0.87517,0.51959,1.02431,0.96551,0.85482,0.93365,0.51599,1.84613,0.85337,1.50786,0.000481144,0.000481144,0.000481144
69,4029.4,0.86594,0.51474,1.03201,0.95585,0.82633,0.91812,0.51957,1.81771,0.86515,1.52161,0.000466997,0.000466997,0.000466997
70,4084.17,0.83491,0.48694,1.01801,0.9492,0.8855,0.95615,0.55742,1.72717,0.77857,1.40829,0.00045285,0.00045285,0.00045285
71,4138.99,0.85212,0.49953,1.01816,0.97391,0.87786,0.94342,0.53067,1.84415,0.8366,1.53195,0.000438703,0.000438703,0.000438703
72,4194.35,0.84007,0.4861,1.02024,0.96393,0.87023,0.93123,0.5322,1.66668,0.89091,1.37319,0.000424556,0.000424556,0.000424556
73,4249.78,0.82767,0.4903,1.01559,0.95119,0.89255,0.94748,0.54248,1.76702,0.81074,1.42407,0.000410409,0.000410409,0.000410409
74,4311.33,0.85547,0.49414,1.02395,0.96539,0.87023,0.95559,0.53708,1.73027,0.78176,1.40684,0.000396262,0.000396262,0.000396262
75,4373.22,0.81161,0.47731,1.01448,0.96613,0.87786,0.95098,0.53041,1.81021,0.79207,1.52775,0.000382115,0.000382115,0.000382115
76,4434.88,0.82221,0.47885,1.01672,0.94525,0.92249,0.96236,0.52342,1.88059,0.6937,1.53677,0.000367967,0.000367967,0.000367967
77,4496.53,0.82187,0.46987,1.01571,0.94022,0.90076,0.94909,0.54191,1.7938,0.86785,1.51497,0.00035382,0.00035382,0.00035382
78,4552.92,0.83176,0.48599,1.01424,0.95788,0.86793,0.94766,0.54312,1.71612,0.76429,1.41378,0.000339673,0.000339673,0.000339673
79,4607.79,0.80139,0.46445,1.00597,0.93863,0.9084,0.96196,0.5548,1.72799,0.75927,1.42848,0.000325526,0.000325526,0.000325526
80,4666.5,0.81489,0.46216,1.00862,0.95917,0.8855,0.95496,0.53849,1.77552,0.70388,1.46175,0.000311379,0.000311379,0.000311379
81,4725.46,0.81368,0.47561,1.0071,0.97201,0.8626,0.95222,0.5502,1.76327,0.76989,1.44695,0.000297232,0.000297232,0.000297232
82,4783.32,0.80715,0.46308,1.0043,0.97355,0.87786,0.95378,0.54048,1.73913,0.7148,1.42694,0.000283085,0.000283085,0.000283085
83,4839.22,0.81664,0.45011,0.99691,0.95651,0.87786,0.9516,0.55523,1.69823,0.7114,1.37374,0.000268938,0.000268938,0.000268938
84,4894.96,0.79576,0.45513,1.00267,0.96638,0.87774,0.95938,0.53991,1.76099,0.68756,1.44555,0.000254791,0.000254791,0.000254791
85,4951.42,0.7875,0.44449,0.99991,0.9051,0.9084,0.94639,0.55046,1.7127,0.73575,1.42584,0.000240644,0.000240644,0.000240644
86,5013.41,0.77881,0.44483,0.99059,0.93466,0.90076,0.95152,0.5436,1.77752,0.70913,1.44835,0.000226497,0.000226497,0.000226497
87,5099.21,0.77981,0.45099,0.98761,0.90057,0.89886,0.93714,0.54999,1.77631,0.77818,1.46545,0.000212349,0.000212349,0.000212349
88,5170.62,0.77293,0.44036,0.98753,0.93983,0.9084,0.9493,0.53941,1.79068,0.73209,1.45946,0.000198202,0.000198202,0.000198202
89,5229.09,0.78019,0.43642,0.99276,0.95494,0.87786,0.94624,0.5518,1.76147,0.76009,1.4553,0.000184055,0.000184055,0.000184055
90,5289.16,0.78315,0.43663,0.99004,0.94819,0.90076,0.94647,0.53504,1.80309,0.71649,1.47577,0.000169908,0.000169908,0.000169908
91,5375.99,0.75123,0.37946,0.96852,0.9315,0.87023,0.93655,0.54362,1.83914,0.74389,1.49431,0.000155761,0.000155761,0.000155761
92,5430.92,0.74992,0.36789,0.96522,0.95045,0.87863,0.96023,0.54512,1.79376,0.65989,1.4616,0.000141614,0.000141614,0.000141614
93,5485.31,0.73545,0.35854,0.96665,0.92766,0.89313,0.95268,0.54479,1.78921,0.68691,1.45693,0.000127467,0.000127467,0.000127467
94,5540.07,0.73146,0.36234,0.96596,0.94305,0.88484,0.94611,0.53983,1.78916,0.70548,1.47522,0.00011332,0.00011332,0.00011332
95,5594.68,0.71576,0.35065,0.96018,0.92047,0.88356,0.94303,0.53913,1.78978,0.7189,1.47713,9.91726e-05,9.91726e-05,9.91726e-05
96,5649.11,0.72385,0.3542,0.95481,0.94998,0.9084,0.95117,0.5487,1.74036,0.72712,1.43032,8.50255e-05,8.50255e-05,8.50255e-05
97,5703.38,0.71566,0.35327,0.94407,0.93728,0.90076,0.94446,0.54705,1.79642,0.68444,1.46885,7.08784e-05,7.08784e-05,7.08784e-05
98,5757.65,0.70302,0.35355,0.95075,0.94465,0.91204,0.95664,0.54749,1.7481,0.67049,1.43248,5.67313e-05,5.67313e-05,5.67313e-05
99,5812.29,0.71075,0.34622,0.95097,0.93772,0.91945,0.95834,0.56052,1.72332,0.7072,1.41581,4.25842e-05,4.25842e-05,4.25842e-05
100,5866.44,0.71178,0.35254,0.95785,0.9234,0.92018,0.95932,0.54886,1.75085,0.69529,1.43423,2.84371e-05,2.84371e-05,2.84371e-05
